visa_cd,name,description
USA_B1B2,Дополнительно,"Для медецинских целей:
 <ul>
<li>Письмо (эпикриз) от лечащего врача с указанием диагноза, природы заболевания и причины, по которой требуется получение медицинской помощи в США.</li>
<li>Письмо от врача или из лечебного учреждения в США, в котором указывается готовность лечить Ваше заболевание, планируемая продолжительность лечения и стоимость медицинских услуг, включая вознаграждение врачей и лечебного учреждения, а также все другие расходы, связанные с лечением.</li>
Заявление о финансовой ответственности физических и юридических лиц, оплачивающих Вашу поездку и покрывающих медицинские расходы и расходы на проживание. Физические лица, гарантирующие оплату таких расходов, должны предоставить документы, подтверждающие соответствующие финансовые возможности, например справки из банков о вкладах и счетах или иные подтверждения доходов и сбережений, включая заверенные копии налоговых деклараций</li>
</ul>"
USA_C1D1,Копия заграничного паспорта,1 и 2 страница. Паспорт должен быть со сроком действия не менее 6 месяцев с даты предполагаемого въезда в США + Копии предыдущих загран паспортов(если таковые имеются)
USA_C1D1,Копия гражданского паспорта,первые две страницы + страница с пропиской
USA_C1D1,Фотография,"5 х 5 цветная на белом фоне, 80% лица"
USA_C1D1,"Справка с места работы с указанием должности и оклада(если заявитель на визу работает) или 
справка с места учебы (если заявитель на визу учится)*","<ul>
<li>Документы о приватизации квартиры, о владении домом, земельным участком, гаражом.</li>
<li>Документы о владении автомобилем - тех. паспорт или доверенность.</li>
</ul>
(на имя студента либо на имя спонсора поездки)"
USA_C1D1,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету ds-160 на английском языке и отправили её в посольство США"
USA_C1D1,Финансовые документы,Выписка из банковсоко счета гарантирующая покрытие всех расходов на время поездки
USA_C1D1,Дополнительные документы,"<ul>
При обращении за транзитной визой необходимо продемонстрировать:

<li>Намерение немедленно и без остановок проехать транзитом через территорию США.</li>
<li>Билет, выданный транспортной компанией, или иной документ, подтверждающий спланированную поездку до места назначения.</li>
<li>Документ, подтверждающий разрешение въехать в другое государство по выбытии из США. (паспорт с визой в ту страну в которую намереваетесь отправится)</li>
</ul>
Если у Вас существует запланированный маршрут, его необходимо предоставить, можно в свободной форме."
USA_C1D1,Дополнительные документы,"При обращении за визой для членов экипажа воздушных и морских судов необходимо следущее:
<ul>
<li>Справка от компании-работодателя или владельца судна с указанием должности заявителя, судна, на котором выходит заявитель, с идентификационным номером Международной морской организации и маршрута следования судна.</li>
<li>Список членов экипажа, заверенный оригинальной подписью капитана порта.</li>
</ul>

<ul>

При обращении за другими визами категорий С и D или за визой C-1/D необходимо продемонстрировать консульскому работнику следующие намерения и предоставить следующие сведения:

<li>Цель Вашей поездки в США — исключительно транзитное перемещение или исполнение обязанностей члена экипажа.</li>
<li>При нахождении в США Вы не будете получать вознаграждение из американских источников, за исключением тех случаев, когда у Вас есть временная рабочая виза.</li>
<li>Вы планируете находиться в США в течение строго определенного периода времени.</li>
</ul>

"
USA_I1,Копия заграничного паспорта,"1 и 2 страница. Действительный заграничный паспорт, срок действия которого не менее чем на шесть месяцев превышает продолжительность предполагаемого периода пребывания в США"
USA_I1,Копия гражданского паспорта,первые две страницы + страница с пропиской
USA_I1,Фотография,"5 х 5 цветная на белом фоне, 80% лица"
USA_I1,Удостоверение журналиста.,Требуется оригинал
USA_I1,Документы подтверждающие трудоустройство,"<ul>Штатные журналисты представляют справку с места работы с указанием имени и фамилии журналиста, должности в компании, цели и продолжительности поездки в США.</li>
<li>Внештатные журналисты, работающие со средством массовой информации по гражданско-правовому договору, предоставляют копию этого договора со следующими реквизитами: имя и фамилия журналиста, должность в компании, срок договора, цель и продолжительность поездки в США.</li>
<li>Члены съемочных групп представляют справку с места работы с указанием имени и фамилии члена съемочной группы, должности в компании, названия и краткого описания снимаемого сюжета или программы, цели и продолжительности поездки в США.</li>
<li>Независимая продюсерская компания, выполняющая заказ по договору со средством массовой информации, предоставляет письмо от организации-заказчика с указанием имени и фамилии исполнителя, названия и краткого описания снимаемого сюжета или программы, срока договора и продолжительности съемок в США.</li>
</ul>"
USA_I1,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету ds-160 на английском языке и отправили её в посольство США"
USA_I1,Финансовые документы,"Наличие денежных средств, достаточных для осуществления транзитной поездки.
Например выписка из банка.
(на имя заявителя либо на имя спонсора поездки)"
USA_I1,Дополнительные документы,"Справка с места работы с указанием цели и планируемой продолжительности поездки, трудового стажа на данном месте работы и общего стажа работы журналистом."
CANADA_TRV,Копия  действительного заграничного паспорта,"1 и 2 страница. Посольство Канады запрашивает паспорт только в том случае, когда вопрос о выдаче визы решен положительно. Никаких штампов в паспорт об отказе в визе канадцы не ставят"
CANADA_TRV,Копия гражданского паспорта,Первые две страницы + страница с пропиской
CANADA_TRV,Фотография,Фото 35мм х 45мм – 2 штуки
CANADA_TRV,Справка с работы(копия),Справка с работы (с указанием вашего оклада и стажа). Владельцы собственного бизнеса должны предоставить документы о регистрации предприятия и постановке его на учет в налоговой инспекции
CANADA_TRV,Выписка с банковского счета(копия),"Желательно, плюс к этому, иметь движение по счету за последние 3-4 месяца "
CANADA_TRV,Копии виз,Ваша история путешествий оценивается по Вашим предыдущим визам
CANADA_TRV,План поездки,"План, расписанный по дням, с описанием мест, мероприятий, которые хотите посетить"
CANADA_TRV,Дополнительные документы,"Сведительство о собственности, сведительство о браке о рождении детей (копии)"
CANADA_TRV,Черновик анкеты,"Черновик анкеты с некоторыми вопросами, ответы на  которые необходимы  нам для того чтобы 
мы заполнили основную анкету IMM 5257E  на английском языке и отправили её в посольство Канады"
