visa_cd,name,description
USA_I1,Внештатные журналисты и фотографы,"Внештатные журналисты могут получить визу категории I только при одновременном соблюдении указанных ниже условий. Журналист должен:
<ul>
<li>иметь документ, выданный профессиональной организацией журналистов;</li>
<li>иметь договор со средством массовой информации;</li>
<li>его деятельность должна быть связана с распространением информации и новостей изначально неразвлекательного и нерекламного характера.</li>
</ul>
Фотографы могут въезжать в США по визе B-1 для осуществления своей деятельности при условии, что они не будут получать вознаграждения от физических и юридических лиц в США.
"
USA_I1,Поездки по гостевой визе,"Вы можете оформить более простую гостевую визу B1/B2, если цель Вашей поездки одна из следующих:
<ul>
<li>Посещение конференции или собраний</li>
<li>Выступление, чтение лекций и осуществление другой преподавательской деятельности</li>
<li>Покупка оборудования для СМИ</li>
<li>Проведение отпуска</li>
</ul>"
USA_I1,Поездки по временной рабочей визе,"Въезд в США по временной рабочей визе возможен для осуществления следующей деятельности.
<ul>
<li>Съемка материалов развлекательного или рекламного характера</li>
<li>Работа вспомогательного персонала, например корректоров, библиотекарей и художников-декораторов</li>
<li>Съемка постановок, телевизионных шоу и телевикторин</li>
<li>Съемки с участием актеров</li>
</ul>"
USA_I1,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_H1B,О нас и наших партнерах,"Компания VizaOK является официальным партнером в России американской компании GHB&LAW расположенной во Флориде, США по адресу 4700 Sheridan Street. GHB& CO INC специализируется на всех сферах иммиграционного законодательства. Мы специализируемся как на временных визах, так и на получении постоянного вида на жительство и гражданства США.
Президент компании, Гейл Харель-Бехор, обладательница степени доктора юриспруденции полученной в Юговосточном Университете Нова, степени бакалавра искусств и бакалавра делового администрирования Университета штата Джорджия в Атланте, штат Джорджия
"
USA_H1B,Чем мы помогаем?,"<ul>
<li>Мы можем подавать ходатайства от имени людей, желающих проживать в любом из штатов; </li>
<li>С помощью наших юристов мы помогли многим людям получить визу и постоянный вид на жительство (карту постоянного резидента). </li>
<li>Мы уже предоставили свои услуги сотням клиентов по всей России и СНГ. </li>
<li>Мы гарантируем, что будем представлять интересы клиентов наиболее профессионально, и сделаем все, что юридически необходимо для того, чтобы помочь нашим клиентам получить визу или постоянный вид на жительство. </li>
</ul>"
USA_H1B,Условия,"<ul>
<li>Виза действительна в течение 3-х лет. Она может быть продлена еще на 3 года, в общей сложности до 6 лет.</li>
<li>Чтобы получить визу H1B требуется приглашение на работу и работодатель, который готов поручиться за приглашенное лицо, подав ходатайство в Службу иммиграции и натурализации США.</li>
<li>До подачи ходатайства о выдаче визы H1B, работодатель должен заполнить ""заявление об условиях труда"" и подать его в Министерство труда, иными словами, обратиться за трудовой сертификацией.</li>
<li>Работодатели США могут обратиться за визой H1B за 6 месяцев до фактической даты начала действия визы.</li>
<li>Лица без высшего образования могут быть приглашены на работу по визе H1B на основании профессионального опыта, составляющего 12 лет и более, так как могут считаться обладателями ""эквивалента ученой степени"".</li>
</ul>"
USA_H1B,"Двойное намерение
","Как правило, большинство неиммиграционных категорий виз требуют от лиц, подающих заявку, сохранения постоянного местожительства за рубежом и доказательства того, что он или она приезжают в США временно. Тем не менее, закон позволяет человеку с H-визой иметь ""двойное намерение"", что является, пожалуй, наиболее выгодным аспектом получения именно этой визы. 
Согласно доктрине двойного намерения, человек может приехать в США временно и в то же время на законных основаниях добиваться постоянного места жительства в Соединенных Штатах (для себя и ближайших членов семьи, супруга и детей в возрасте до 21"
USA_H1B,Покупка недвижемости и инвестиции,"Обладатели визы категории H1 могут купить дом или любую другую недвижимость в США. 
Они также могут инвестировать деньги в акции, паевые инвестиционные фонды, облигации и т.д. Обладатели визы H1 не могут заниматься индивидуальной трудовой деятельностью или работать в качестве фрилансеров и выполнять контрактные виды работ в свое свободное время"
USA_L1,О нас и наших партнерах,"Компания VizaOK является официальным партнером в России американской компании GHB&LAW расположенной во Флориде, США по адресу 4700 Sheridan Street. GHB& CO INC специализируется на всех сферах иммиграционного законодательства. Мы специализируемся как на временных визах, так и на получении постоянного вида на жительство и гражданства США.
Президент компании, Гейл Харель-Бехор, обладательница степени доктора юриспруденции полученной в Юговосточном Университете Нова, степени бакалавра искусств и бакалавра делового администрирования Университета штата Джорджия в Атланте, штат Джорджия
"
USA_L1,Чем мы помогаем?,"<ul>
<li>Мы можем подавать ходатайства от имени людей, желающих проживать в любом из штатов; </li>
<li>С помощью наших юристов мы помогли многим людям получить визу и постоянный вид на жительство (карту постоянного резидента). </li>
<li>Мы уже предоставили свои услуги сотням клиентов по всей России и СНГ. </li>
<li>Мы гарантируем, что будем представлять интересы клиентов наиболее профессионально, и сделаем все, что юридически необходимо для того, чтобы помочь нашим клиентам получить визу или постоянный вид на жительство. </li>
</ul>"
USA_L1,Green Card (Грин Карта),"Согласно доктрине двойного намерения, 
виза L-1 может быть законно использована в качестве ""трамплина"" для получения Грин-карты."
USA_L1,Требования,"<ul>
<li>Выдача регулярной визы L-1 в отношении каждого отдельного лица должна быть одобрена Службой иммиграции и натурализации США.</li>
<li>Если речь идет о новой компании, открытой в США (действующей менее года или год), виза выдается на один год и может быть продлена. Если же компания существует более одного года, виза действительна в течение 3 лет и может быть продлена.</li>
<li>Не имеет ограничительных квот и не требует прохождения трудовой сертификации в Департаменте Труда США.</li>
<li>Супругам владельцев визы L-1 разрешено легально работать в США в статусе L-2!</li>
</ul>"
USA_O1,Чем мы помогаем?,"<ul>
<li>Мы можем подавать ходатайства от имени людей, желающих проживать в любом из штатов; </li>
<li>С помощью наших юристов мы помогли многим людям получить визу и постоянный вид на жительство (карту постоянного резидента). </li>
<li>Мы уже предоставили свои услуги сотням клиентов по всей России и СНГ. </li>
<li>Мы гарантируем, что будем представлять интересы клиентов наиболее профессионально, и сделаем все, что юридически необходимо для того, чтобы помочь нашим клиентам получить визу или постоянный вид на жительство. </li>
</ul>"
USA_O1,О нас и наших партнерах,"Компания VizaOK является официальным партнером в России американской компании GHB&LAW расположенной во Флориде, США по адресу 4700 Sheridan Street. GHB& CO INC специализируется на всех сферах иммиграционного законодательства. Мы специализируемся как на временных визах, так и на получении постоянного вида на жительство и гражданства США.
Президент компании, Гейл Харель-Бехор, обладательница степени доктора юриспруденции полученной в Юговосточном Университете Нова, степени бакалавра искусств и бакалавра делового администрирования Университета штата Джорджия в Атланте, штат Джорджия
"
USA_R1,Чем мы помогаем?,"<ul>
<li>Мы можем подавать ходатайства от имени людей, желающих проживать в любом из штатов; </li>
<li>С помощью наших юристов мы помогли многим людям получить визу и постоянный вид на жительство (карту постоянного резидента). </li>
<li>Мы уже предоставили свои услуги сотням клиентов по всей России и СНГ. </li>
<li>Мы гарантируем, что будем представлять интересы клиентов наиболее профессионально, и сделаем все, что юридически необходимо для того, чтобы помочь нашим клиентам получить визу или постоянный вид на жительство. </li>
</ul>"
USA_R1,О нас и наших партнерах,"Компания VizaOK является официальным партнером в России американской компании GHB&LAW расположенной во Флориде, США по адресу 4700 Sheridan Street. GHB& CO INC специализируется на всех сферах иммиграционного законодательства. Мы специализируемся как на временных визах, так и на получении постоянного вида на жительство и гражданства США.
Президент компании, Гейл Харель-Бехор, обладательница степени доктора юриспруденции полученной в Юговосточном Университете Нова, степени бакалавра искусств и бакалавра делового администрирования Университета штата Джорджия в Атланте, штат Джорджия
"
USA_B1B2_1,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_B1B2_2,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_B1B2_3,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_B1B2_4,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_B1B2_5,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_C1,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
USA_D1,Процедура оформления,"Для того чтобы начать процедуру записи Вас нас собеседование в посольство США,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:

1. Отсканировать или сфотографировать (в читаемом виде) все документы и сохранить на компьютере 
- фотографию нужно обязательно отсканировать
2. Оплатить консульский сбор на прямую в посольство по ссылке или по реквезитам(реквезиты посольства мы Вам вышлем, если потребуется, но по ссылке быстрее)
3. Заполнить черновик анкеты на русском языке
4. Выслать нам все необходимые документы по электронной почте
P.S. После того, как все документы будут получены, мы запишем Вас нас собеседование в ближайшем для Вас посольстве или консульстве США
По всем вопросам не стесняйтесь звонить, будем рады Вас проконсультировать!
"
CANADA_TRV,Перевод документов,"Канадское посольство требует, в обязательном порядке, перевод всех документов.
Такие переводы должны быть сделаны в переводческом агенстве, подписаны и заверены печатью этого агенства. "
CANADA_TRV,"Дополнительно
","Если претендент на Канадскую визу не имеет самостоятельных источников дохода, то необходимо указать спонсора(другой источник дохода),
 в этом случае все документы о собственности должны быть на имя спосора поездки. Спонсором поездки может выступать один из родтсвенников, для этого необходимо доказать своё родство со спонсором. "
CANADA_TRV,Процедура оформления,"Для того чтобы начать процедуру обращения за визой  в посольство Канады ,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:
1. Отсканировать все необходимые документы
2. Переслать документы нам по электронной почте
3. Заполнить черновик анкеты на  визу в Канаду
4.Проконсультироваться с нами по вопросам сбора документов и по вопросам заполнения анкеты на туристическую визу в Канаду, а также по остальным вопросам.
P.S. После того, как все документы будут получены нами по  электронной почте, мы начнем процедуру обращения за Канадской визой. Собеседований в посольстве в 90% обращений за Канадской визой не бывает. После того, как мы отправим ваши документы на рассмотрение в посольство Канады, спустя 3-6 недель к нам на почту приёдет ответ от посольства Канады об одобрении или об отказе, если визу Вам одобрят, то мы Вам об этом сообщим, в этом случае Вы возьмёте свой заграничный паспорт и отправитесь в назначенное время и место для вклейки визы в Ваш паспорт, если же Вам будет отказано в визе, то вы просто никуда не идете. Бумажки об отказе в визе посольство Канады не дает. "
CANADA_TRV,Чем мы помогаем?,"На сегодняшний день, виза в Канаду самая трудная виза для получения гражданам РФ и СНГ, для того чтобы получить визу необходимо подготовить полный комплект документов, перевести их на английский язык , правильно заполнить черновик анкеты, а также знать как и куда отпраить необходимые документы, если все эти действия будут выполненны правильно, то Ваши шансы на получения визы в Канаду значительно увеличиваются. 
Так как большинство отказов в Канадской визе связанно именно с тем, что собран неправильный или неполный комплект документов, или допущены ошибки в выборе типа визы  итд. мы  рекомендуем обратиться в  наше агенство, которое имеет достаточный опыт в этом вопросе и  занимается помощью и сопровождением людей, которые хотят быстро и качественно получить визу в Канаду."
CANADA_TRV1,Перевод документов,"Канадское посольство требует, в обязательном порядке, перевод всех документов.
Такие переводы должны быть сделаны в переводческом агенстве, подписаны и заверены печатью этого агенства. "
CANADA_TRV1,"Дополнительно
","Если претендент на Канадскую визу не имеет самостоятельных источников дохода, то необходимо указать спонсора(другой источник дохода),
 в этом случае все документы о собственности должны быть на имя спосора поездки. Спонсором поездки может выступать один из родтсвенников, для этого необходимо доказать своё родство со спонсором. 


"
CANADA_TRV1,Процедура оформления,"Для того чтобы начать процедуру обращения за визой  в посольство Канады ,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:
1. Отсканировать все необходимые документы
2. Переслать документы нам по электронной почте
3. Заполнить черновик анкеты на  визу в Канаду
4.Проконсультироваться с нами по вопросам сбора документов и по вопросам заполнения анкеты на туристическую визу в Канаду, а также по остальным вопросам.
P.S. После того, как все документы будут получены нами по  электронной почте, мы начнем процедуру обращения за Канадской визой. Собеседований в посольстве в 90% обращений за Канадской  визой не бывает. После того, как мы отправим ваши документы на рассмотрение в посольство Канады, спустя 3-6 недель к вам на электронную почту приёдет ответ от посольства Канады об одобрении или об отказе, если визу Вам одобрят, то мы Вам об этом сообщим, в этом случае Вы возьмёте свой заграничный паспорт и отправитесь в назначенное время и место для вклейки визы в Ваш паспорт, если же Вам будет отказано в визе, то вы просто никуда не идете. Бумажки об отказе в визе посольство Канады не дает. "
CANADA_TRV1,Чем мы помогаем?,"На сегодняшний день, виза в Канаду самая трудная виза для получения гражданам РФ и СНГ, для того чтобы получить визу необходимо подготовить полный комплект документов, перевести их на английский язык , правильно заполнить черновик анкеты, а также знать как и куда отпраить необходимые документы, если все эти действия будут выполненны правильно, то Ваши шансы на получения визы в Канаду значительно увеличиваются. 
Так как большинство отказов в Канадской визе связанно именно с тем, что собран неправильный или неполный комплект документов, или допущены ошибки в выборе типа визы  итд. мы  рекомендуем обратиться в  наше агенство, которое имеет достаточный опыт в этом вопросе и  занимается помощью и сопровождением людей, которые хотят быстро и качественно получить визу в Канаду."
CANADA_TRV2,Перевод документов,"Канадское посольство требует, в обязательном порядке, перевод всех документов.
Такие переводы должны быть сделаны в переводческом агенстве, подписаны и заверены печатью этого агенства. "
CANADA_TRV2,"Дополнительно
","Если претендент на Канадскую визу не имеет самостоятельных источников дохода, то необходимо указать спонсора(другой источник дохода),
 в этом случае все документы о собственности должны быть на имя спосора поездки. Спонсором поездки может выступать один из родтсвенников, для этого необходимо доказать своё родство со спонсором. 


"
CANADA_TRV2,Процедура оформления,"Для того чтобы начать процедуру обращения за визой  в посольство Канады ,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:
1. Отсканировать все необходимые документы
2. Переслать документы нам по электронной почте
3. Заполнить черновик анкеты на  визу в Канаду
4.Проконсультироваться с нами по вопросам сбора документов и по вопросам заполнения анкеты на туристическую визу в Канаду, а также по остальным вопросам.
P.S. После того, как все документы будут получены нами по  электронной почте, мы начнем процедуру обращения за Канадской визой. Собеседований в посольстве в 90% обращений за Канадской  визой не бывает. После того, как мы отправим ваши документы на рассмотрение в посольство Канады, спустя 3-6 недель к вам на электронную почту приёдет ответ от посольства Канады об одобрении или об отказе, если визу Вам одобрят, то мы Вам об этом сообщим, в этом случае Вы возьмёте свой заграничный паспорт и отправитесь в назначенное время и место для вклейки визы в Ваш паспорт, если же Вам будет отказано в визе, то вы просто никуда не идете. Бумажки об отказе в визе посольство Канады не дает. "
CANADA_TRV2,Чем мы помогаем?,"На сегодняшний день, виза в Канаду самая трудная виза для получения гражданам РФ и СНГ, для того чтобы получить визу необходимо подготовить полный комплект документов, перевести их на английский язык , правильно заполнить черновик анкеты, а также знать как и куда отпраить необходимые документы, если все эти действия будут выполненны правильно, то Ваши шансы на получения визы в Канаду значительно увеличиваются. 
Так как большинство отказов в Канадской визе связанно именно с тем, что собран неправильный или неполный комплект документов, или допущены ошибки в выборе типа визы  итд. мы  рекомендуем обратиться в  наше агенство, которое имеет достаточный опыт в этом вопросе и  занимается помощью и сопровождением людей, которые хотят быстро и качественно получить визу в Канаду."
CANADA_TRV3,Перевод документов,"Канадское посольство требует, в обязательном порядке, перевод всех документов.
Такие переводы должны быть сделаны в переводческом агенстве, подписаны и заверены печатью этого агенства. "
CANADA_TRV3,"Дополнительно
","Если претендент на Канадскую визу не имеет самостоятельных источников дохода, то необходимо указать спонсора(другой источник дохода),
 в этом случае все документы о собственности должны быть на имя спосора поездки. Спонсором поездки может выступать один из родтсвенников, для этого необходимо доказать своё родство со спонсором. 


"
CANADA_TRV3,Процедура оформления,"Для того чтобы начать процедуру обращения за визой  в посольство Канады ,необходимо для начала собрать все требуемые документы. После этого Вам необходимо сделать следущее:
1. Отсканировать все необходимые документы
2. Переслать документы нам по электронной почте
3. Заполнить черновик анкеты на  визу в Канаду
4.Проконсультироваться с нами по вопросам сбора документов и по вопросам заполнения анкеты на туристическую визу в Канаду, а также по остальным вопросам.
P.S. После того, как все документы будут получены нами по  электронной почте, мы начнем процедуру обращения за Канадской визой. Собеседований в посольстве в 90% обращений за Канадской  визой не бывает. После того, как мы отправим ваши документы на рассмотрение в посольство Канады, спустя 3-6 недель к вам на электронную почту приёдет ответ от посольства Канады об одобрении или об отказе, если визу Вам одобрят, то мы Вам об этом сообщим, в этом случае Вы возьмёте свой заграничный паспорт и отправитесь в назначенное время и место для вклейки визы в Ваш паспорт, если же Вам будет отказано в визе, то вы просто никуда не идете. Бумажки об отказе в визе посольство Канады не дает. "
CANADA_TRV3,Чем мы помогаем?,"На сегодняшний день, виза в Канаду самая трудная виза для получения гражданам РФ и СНГ, для того чтобы получить визу необходимо подготовить полный комплект документов, перевести их на английский язык , правильно заполнить черновик анкеты, а также знать как и куда отпраить необходимые документы, если все эти действия будут выполненны правильно, то Ваши шансы на получения визы в Канаду значительно увеличиваются. 
Так как большинство отказов в Канадской визе связанно именно с тем, что собран неправильный или неполный комплект документов, или допущены ошибки в выборе типа визы  итд. мы  рекомендуем обратиться в  наше агенство, которое имеет достаточный опыт в этом вопросе и  занимается помощью и сопровождением людей, которые хотят быстро и качественно получить визу в Канаду."
CANADA_STD,Процедура оформления,"Для того чтобы начать процедуру оформления студенеской визы в Канаду, необходимо: 
1.Получить письмо о зачислении из Колледжа или Университета Канады(Admission Letter/ Lettre d'acceptation). Копия или факс сойдет.
2.Заполнить заявление на выдачу разрешения на учебу в двух экземплярах на английском языке, если Вы собираетесь учиться в Канаде больше шести месяцев. Заполните его как черновик, мы поможем напечатать его так, как нужно для посольства Канады. 
3. Заполнить черновик анкеты на  визу в Канаду
4. Если Вы собираетесь учиться в Канаде меньше шести месяцев: Согласно Закону об иммиграции и защите беженцев (IRPA) в случае обучения в Канаде менее шести месяцев, разрешение на учебу не требуется. В этом случае для Вам подойдет обычная гостевая виза.
Вы можете подать заявление на выдачу разрешения на учебу даже если программа, по которой Вы собираетесь обучаться, длится меньше, чем шесть месяцев. Разрешение на учебу может быть полезным в следующих случаях:
<ul>
<li>Если Вы намереваетесь продлить учебу в Канаде, например, после окончания курсов поступить в Университет и остаться в Канаде на срок более шести месяцев.</li>
<li>Если Вы планируете работать в студенческом городке.</li>
<li>Если учебный курс, на который Вы записаны, длится больше шести месяцев, но Вы собираетесь покинуть Канаду до истечения шестимесячного срока, не завершив обучение.</li>
</ul>
5. Собрать основной пакет документов на визу в Канаду. Часть этих документов (например, письмо с места работы или выписка с банковского счета) может подаваться от родителей. Предоставьте убедительные доказательства того, что Вы вернетесь домой по окончании курса обучения.

6. Пройти медкомиссию если консульский офицер в посольстве Вам её назначит.

P.S. После того, как все документы будут получены нами по  электронной почте, мы начнем процедуру обращения за Канадской визой. Собеседований в посольстве в 90% обращений за Канадской  визой не бывает. После того, как мы отправим ваши документы на рассмотрение в посольство Канады, спустя 3-6 недель к вам на электронную почту приёдет ответ от посольства Канады об одобрении или об отказе, если визу Вам одобрят, то мы Вам об этом сообщим, в этом случае Вы возьмёте свой заграничный паспорт и отправитесь в назначенное время и место для вклейки визы в Ваш паспорт, если же Вам будет отказано в визе, то вы просто никуда не идете. Бумажки об отказе в визе посольство Канады не дает. "
CANADA_STD,Чем мы помогаем?,"На сегодняшний день, виза в Канаду самая трудная виза для получения гражданам РФ и СНГ, для того чтобы получить визу необходимо подготовить полный комплект документов, перевести их на английский язык , правильно заполнить черновик анкеты, а также знать как и куда отпраить необходимые документы, если все эти действия будут выполненны правильно, то Ваши шансы на получения визы в Канаду значительно увеличиваются. 
Так как большинство отказов в Канадской визе связанно именно с тем, что собран неправильный или неполный комплект документов, или допущены ошибки в выборе типа визы  итд. мы  рекомендуем обратиться в  наше агенство, которое имеет достаточный опыт в этом вопросе и  занимается помощью и сопровождением людей, которые хотят быстро и качественно получить визу в Канаду."
AUSTRALIA_570,Преимущества визы студента," дает возможность получить студенческую медицинскую страховку, субсидируемую правительством Австралии;
• предоставляет право обучаться более 3 месяцев;
• возможность получения разрешение на работу;
• визу данного типа можно продлить; 
• студенческая виза является многократной (по ней можно неограниченное число раз въезжать и выезжать из Австралии).

Иностранному студенту в Австралии разрешается учиться, снимать жилье, приглашать своих родителей и друзей навестить его, работать, заниматься бизнесом, покупать и продавать недвижимость. А еще студенту дано право оформлять визы в другие страны мира, не выезжая из Австралии.
Для продления студенческого статуса, нужно заново получать визу, но сделать это можно в самой Австралии. В случае если иностранный студент пробыл в стране больше одного года, ему необходимо заново "
